Num_Acc,jour,mois,an,hr,condition_eclairage,departement,commune,condition_agglomeration,intersection,condition_atmosphere,type_collision,adresse,lattitude,longitude
201400029724,9,3,14,12,1,56,121,2,1,1,3,"0, CARNEL (RUE  DE )",47.7387,-3.36866
201400029725,11,3,14,18,1,56,83,1,1,1,2,"0, LOCOYARNE (LIEU-DIT)",0.0,0.0
201400029726,15,3,14,4,3,56,121,1,1,1,7,"0, RD 465",47.7644,-3.37975
201400029727,17,3,14,11,1,56,121,2,1,1,7,"0, CHAZELLES ( COURS LOU",47.75235,-3.36145
201400029728,22,3,14,23,5,56,121,2,2,2,3,"0, BLUM ( BD LEON )",47.75136,-3.37166
201400029729,25,3,14,17,1,56,121,2,1,2,6,"0, NAYEL ( ET PLACE AUGU",47.74696,-3.36131
201400029730,28,3,14,4,3,56,162,1,1,1,7,"0, 152 (ROUTE DEPARTEMEN",0.0,0.0
201400029731,5,4,14,22,5,56,162,2,1,1,7,"0, KERSCOUET",0.0,0.0
201400029732,6,4,14,14,1,56,98,2,2,1,3,"0, COMMUNE DE PARIS ( AV",47.77191,-3.33876
201400029733,6,4,14,19,1,56,121,2,3,1,3,"0, CARNOT (RUE  LAZARE )",47.74191,-3.3614
201400029734,6,4,14,1,5,56,121,2,1,1,7,"0, FERRY ( PL. JULES )",47.74616,-3.3644
201400029735,9,4,14,20,2,56,83,2,1,1,7,"0, PORT LOUIS ( ROUTE)",47.80331,-3.27857
201400029736,11,4,14,8,1,56,121,1,1,1,3,"0, ROHAN ( Q DE )",47.74531,-3.36165
201400029737,10,4,14,15,1,56,121,2,1,1,7,"40, KERGUESTENEN (RUE  D",47.74975,-3.39433
201400029738,14,4,14,21,5,56,121,2,1,1,7,"11, TOURTERELLES (RUE ET",47.73513,-3.39068
201400029739,15,4,14,8,1,56,121,2,9,1,7,"2 A, DUNANT (RUE  HENRI",47.75155,-3.37708
201400029740,15,4,14,17,1,56,121,2,1,1,7,"0, ALSACE-LORRAINE  ( PL",47.74982,-3.36209
201400029741,15,4,14,19,1,56,121,2,1,1,7,"52, COSMAO-DUMANOIR ( BD",47.75405,-3.36723
201400029742,16,4,14,17,1,56,83,2,1,1,3,"0, ZOLA ( IMP. ET RUE EM",47.80375,-3.268
201400029743,17,4,14,7,1,56,121,2,1,1,1,"0, KERLIN (RUE  DE )",47.74775,-3.37797
201400029744,17,4,14,11,1,56,121,2,1,1,2,"19, MERVILLE (RUE  JEAN",47.74509,-3.3766
201400029745,17,4,14,14,1,56,107,1,1,1,7,"0, DAME (PLACE NOTRE)",47.70636,-3.38494
201400029746,18,4,14,18,1,56,121,1,1,1,5,"0, RD 465",47.75813,-3.38458
201400029747,19,4,14,14,1,56,121,2,1,1,7,"21, JOLIOT-CURIE (RUE  I",47.74747,-3.38288
201400029748,22,4,14,18,1,56,121,1,1,1,5,"0, DESSERTE PORTUAIRE (R",47.73589,-3.37012
201400029749,23,4,14,16,1,56,162,2,3,3,3,"0, FORT BLOQUE (RUE DU)",47.73664,-3.43528
201400029750,26,4,14,12,1,56,121,2,3,1,3,"0, MARNE ( AV DE LA )",47.74276,-3.3683
201400029751,9,5,14,17,1,56,98,1,1,1,5,"0, RN 165",0.0,0.0
201400029752,11,5,14,16,1,56,107,2,1,1,2,"0, BEG TAL MEN (RUE)",47.70519,-3.38424
201400029753,16,5,14,17,1,56,98,2,2,1,3,"0, CHEVAL BLANC ( AV. DU",47.7679,-3.35128
201400029754,17,5,14,17,1,56,162,1,1,1,7,"0, KAOLINS (PLAGE DES )",47.72339,-3.48475
201400029755,19,5,14,10,1,56,121,2,1,1,7,"37, SANGNIER (RUE  MARC",47.74722,-3.37402
201400029756,20,5,14,16,1,56,162,2,1,1,7,"2, QUEVEN (ROUTE DE)",47.73732,-3.42873
201400029757,20,5,14,16,1,56,121,2,1,1,7,"0, GAMBETTA (RUE LEON)",47.7449,-3.36364
201400029758,23,5,14,14,1,56,83,2,1,1,2,"0, RESISTANCE (AVENUE  D",47.81553,-3.24393
201400029759,25,5,14,20,2,56,107,1,1,1,7,"0, BRISE (IMPASSE DE LA)",47.70717,-3.38401
201400029760,26,5,14,13,1,56,121,2,1,1,7,"0, JACOB ( RP. MAX )",47.75424,-3.38334
201400029761,27,5,14,15,1,56,107,2,1,1,7,"0, NOURRIGUEL (PLACE DE",47.71126,-3.37581
201400029762,28,5,14,16,1,56,162,1,1,1,3,"0, D 162",0.0,0.0
201400029763,31,5,14,4,3,56,162,1,1,1,2,"0, MOULIN DU TER",47.73049,-3.3991
201400029764,4,6,14,17,1,56,98,1,1,1,7,"0, BOLLARDIERE (RUE  GEN",47.77788,-3.3436
201400029765,6,6,14,14,1,56,98,2,1,1,7,", SAKHAROV (RUE  ANDRE",47.77709,-3.34258
201400029766,6,6,14,18,1,56,121,2,1,1,3,"0, SCORFF ( BD DU )",47.7641,-3.36785
201400029767,6,6,14,22,3,56,98,2,1,1,7,"09, JAURES (RUE  JEAN )",47.76259,-3.36274
201400029768,8,6,14,16,1,56,107,2,1,1,7,"0, KERGALAN OU CD 185 (D",47.71237,-3.41561
201400029769,10,6,14,9,1,56,98,2,1,1,7,"0, MAURIAC (RUE  FRANCOI",47.76528,-3.34828
201400029770,11,6,14,12,1,56,83,2,3,1,3,"0, KERPOTENCE (RUE  DE )",47.81545,-3.24391
201400029771,11,6,14,18,1,56,121,2,1,1,3,"43, DUPUY DE LOME ( ET I",47.74154,-3.36425
201400029772,14,6,14,10,1,56,121,2,1,1,7,"0, JAURES ( AVE JEAN )",47.74534,-3.36906
201400029773,17,6,14,20,1,56,121,2,1,7,3,"2, ROBESPIERRE ( AV MAXI",47.76845,-3.34424
201400029774,18,6,14,22,3,56,107,1,1,1,7,"0, KERGALAN OU CD 185 (D",47.70778,-3.41432
201400029775,19,6,14,18,1,56,121,2,1,1,3,"0, TOULLEC (RUE  FRANCOI",47.73236,-3.37938
201400029776,23,6,14,10,1,56,121,2,1,1,7,"0, BOVE ( COURS DE LA )",47.74771,-3.35908
201400029777,23,6,14,17,1,56,107,2,1,1,1,"0, BRUYERES (RUE DES)",47.72438,-3.38259
201400029778,25,6,14,12,1,56,121,2,1,1,3,"1, KEROLAY (RUE  DE )",47.73958,-3.37394
201400029779,26,6,14,18,1,56,83,2,1,1,5,"0, ALLENDE ( AV. PRES. S",47.80602,-3.25976
201400029780,30,6,14,11,1,56,121,2,1,1,7,"0, MULLER ( DU COLONEL J",47.76481,-3.39851
201400029781,1,7,14,18,1,56,162,1,1,1,7,"., MOULIN DU TER",47.73285,-3.40405
201400029782,3,7,14,8,1,56,121,2,3,1,3,"0, COURBET (RUE  AMIRAL",47.74396,-3.36376
201400029783,4,7,14,18,1,56,121,2,6,1,3,"., KERYADO ( RD-PT DE )",47.76603,-3.40096
201400029784,4,7,14,19,1,56,98,2,1,1,7,"., CROIZAT ( AVE AMBROIS",47.77623,-3.34503
201400029785,5,7,14,22,2,56,83,1,1,1,7,"., LOCOYARNE ( R-P DE )",47.79121,-3.27678
201400029786,6,7,14,6,1,56,121,2,1,1,7,"17, CORRE (RUE  EMILE )",47.74479,-3.35887
201400029787,9,7,14,18,1,56,121,2,1,1,7,"., CHENAILLER DIT COLONE",47.73341,-3.38566
201400029788,9,7,14,19,1,56,162,2,2,1,3,"., VENTURA (RUE LINO)",47.7411,-3.43116
201400029789,10,7,14,17,1,56,121,2,1,1,7,"., QUEUDET ( AV RAYMOND",47.75927,-3.39173
201400029790,14,7,14,21,1,56,83,1,1,1,7,ROUTE NATIONALE  165,0.0,0.0
201400029791,18,7,14,9,1,56,121,2,1,1,1,"., SCHWEITZER (RUE  DOCT",47.75527,-3.35711
201400029792,21,7,14,14,1,56,121,2,1,1,7,"8, BERTHO (RUE  PAUL )",47.75768,-3.36693
201400029793,21,7,14,17,1,56,121,2,1,1,3,"2, NORMANDIE ( BD ET IMP",47.75988,-3.36613
201400029794,23,7,14,16,1,56,162,2,1,1,1,"., KERBERNES",47.73755,-3.39992
201400029795,29,7,14,19,1,56,98,2,1,1,3,"0, LANN-SEVELIN (ROND PO",47.77805,-3.34383
201400029796,30,7,14,18,1,56,107,1,1,1,5,"., ROUTE DEPARTEMENTALE",0.0,0.0
201400029797,1,8,14,13,1,56,121,2,1,1,7,"19, KERFICHANT (RUE)",47.74999,-3.3835
201400029798,3,8,14,1,5,56,121,2,1,1,7,"2, FAOUEDIC ( AVE DU )",47.74776,-3.36485
201400029799,4,8,14,19,1,56,121,2,1,1,3,"0, BELGIQUE (RUE  DE )",47.75859,-3.37745
201400029800,6,8,14,22,5,56,121,2,1,1,7,"0, GUIEYSSE (RUE  PAUL )",47.75726,-3.3688
201400029801,8,8,14,10,1,56,121,2,2,8,7,"18, CHAZELLES ( COURS LO",47.75375,-3.36246
201400029802,9,8,14,22,5,56,121,2,1,1,2,"137, BELGIQUE (RUE  DE )",47.76076,-3.38491
201400029803,10,8,14,8,1,56,98,2,1,1,7,"0, LANN-SEVELIN (ROND PO",47.77744,-3.34454
201400029804,10,8,14,10,1,56,98,2,1,2,7,"78, CROIZAT ( AVE AMBROI",47.77382,-3.34695
201400029805,10,8,14,10,1,56,121,2,1,1,7,"198, BELGIQUE (RUE  DE )",47.76143,-3.38792
201400029806,11,8,14,18,1,56,83,1,1,1,3,"0, VILLENEUVE ST-CARADEC",47.82218,-3.28953
201400029807,12,8,14,8,1,56,162,2,1,1,3,"0, CORNOUAILLE (RUE DES)",47.73246,-3.42572
201400029808,12,8,14,19,1,56,121,2,1,1,3,"0, FRANCE ( AVE ANATOLE",47.7455,-3.36789
201400029809,4,8,14,14,1,56,121,2,1,1,7,"34, KERGUILLETTE (RUE  D",47.76426,-3.39323
201400029810,15,8,14,13,1,56,162,1,1,1,7,"0, KERPAPE (ROUTE DE)",47.70586,-3.42071
201400029811,18,8,14,16,1,56,98,1,1,1,5,"0, RN 165",0.0,0.0
201400029812,18,8,14,18,1,56,98,2,1,1,3,"78, CROIZAT ( AVE AMBROI",47.77668,-3.34516
201400029813,23,8,14,12,1,56,121,1,6,1,3,"0, KERYADO ( RD-PT DE )",47.76597,-3.40058
201400029814,23,8,14,21,5,56,121,2,1,1,7,"0, DUGUAY-TROUIN (RUE RE",47.74282,-3.36788
201400029815,25,8,14,14,1,56,121,2,1,3,7,"0, BOLLARDIERE (RUE  GEN",47.7557,-3.39151
201400029816,25,8,14,14,1,56,83,1,1,3,7,RUE DU TEMPLE,47.82673,-3.28121
201400029817,31,8,14,20,5,56,121,2,1,1,7,"0, ESVELIN (RUE  MAITRE",47.74561,-3.36304
201400029818,2,9,14,15,1,56,98,2,1,1,2,"57, CROIZAT ( AVE AMBROI",47.77353,-3.34776
201400029819,4,9,14,21,5,56,83,1,1,1,3,"0, D 145",47.79995,-3.25949
201400029820,5,9,14,14,1,56,121,2,1,1,6,"28, COSMAO-DUMANOIR ( BD",47.75472,-3.36393
201400029821,5,9,14,15,1,56,98,2,1,1,7,"12, JAURES (RUE  JEAN )",47.76357,-3.36091
