Num_Acc,num_veh,category_veh,obstacle,obstacle_m,choc,manoeuvre
201600000254,A01,7,0,2,1,13
201600000254,B02,7,0,2,1,1
201600000255,A01,7,0,2,3,13
201600000255,B02,10,0,2,1,1
201600000255,C03,33,0,0,0,21
201600000255,D04,33,0,2,1,21
201600000256,A01,7,0,6,1,13
201600000256,B02,7,0,2,1,1
201600000257,A01,17,0,2,2,21
201600000257,B02,14,0,2,6,1
201600000258,A01,33,0,2,7,1
201600000258,B02,10,0,2,3,19
201600000259,A01,2,0,2,7,1
201600000260,A01,7,0,2,5,17
201600000260,B02,10,0,2,0,18
201600000261,A01,7,0,2,3,15
201600000261,B02,7,0,2,3,1
201600000262,A01,7,0,2,3,1
201600000262,B02,10,0,2,3,0
201600000263,A01,7,4,0,3,1
201600000264,A01,33,0,2,1,1
201600000264,B02,7,0,2,6,1
201600000265,A01,7,6,0,7,13
201600000266,A01,30,0,6,1,1
201600000267,A01,7,0,1,1,1
201600000268,A01,7,0,2,1,5
201600000268,B02,7,0,2,1,1
201600000269,A01,7,0,2,6,10
201600000269,B02,33,0,2,1,1
201600000270,A01,30,0,0,1,19
201600000270,B02,7,0,0,7,1
201600000271,A01,7,0,1,2,14
201600000272,A01,33,0,2,1,13
201600000272,B02,32,0,2,1,1
201600000273,A01,36,8,0,1,13
201600000274,A01,7,0,2,1,15
201600000274,B02,7,0,2,1,1
201600000275,A01,7,0,2,1,17
201600000276,A01,7,2,0,1,0
201600000277,A01,2,0,2,4,2
201600000277,B02,2,0,2,1,0
201600000278,A01,31,0,2,1,0
201600000278,B02,7,0,2,5,0
201600000279,A01,7,6,0,9,2
201600000280,A01,33,7,0,1,1
201600000280,B02,7,0,2,5,1
201600000281,A01,7,0,1,3,2
201600000282,A01,7,15,0,7,1
201600000283,A01,7,0,2,2,11
201600000283,B02,3,0,2,8,1
201600000284,A01,7,4,0,1,1
201600000285,B02,1,0,2,8,1
201600000285,A01,7,0,2,1,19
201600000286,A01,1,0,2,1,1
201600000286,B02,20,0,2,4,4
201600000287,A01,7,0,2,2,15
201600000287,B02,14,0,2,1,1
201600000288,A01,7,0,2,3,1
201600000288,B02,7,0,2,3,1
201600000289,A01,7,6,0,3,1
201600000290,A01,7,2,0,1,1
201600000291,A01,7,13,2,8,13
201600000291,B02,33,0,2,1,1
201600000291,C03,33,0,0,0,1
201600000292,A01,7,6,0,9,0
201600000293,A01,3,0,2,6,13
201600000293,B02,7,0,2,6,1
201600000294,A01,33,1,0,3,13
201600000295,A01,1,0,2,1,1
201600000295,B02,10,0,2,5,0
201600000296,B02,31,0,0,0,1
201600000296,A01,30,0,0,0,1
201600000297,A01,10,0,2,1,13
201600000297,B02,7,0,2,1,0
201600000298,A01,33,0,2,2,17
201600000298,B02,10,0,2,8,15
201600000299,A01,7,0,1,1,12
201600000300,A01,7,0,0,3,1
201600000300,B02,7,0,0,1,15
201600000301,A01,7,0,2,1,13
201600000301,B02,7,0,2,1,1
201600000302,A01,7,2,0,1,1
201600000303,A01,10,0,2,3,1
201600000303,B02,7,0,2,3,13
201600000304,A01,10,0,9,2,1
201600000304,B02,1,0,2,8,1
201600000305,A01,7,0,2,1,2
201600000305,B02,7,0,2,4,13
201600000305,C03,7,0,2,3,1
201600000306,A01,7,2,0,8,17
201600000307,A01,7,0,2,1,9
201600000307,B02,7,0,2,7,1
201600000308,A01,7,0,2,3,17
201600000308,B02,31,0,2,7,1
201600000309,A01,14,0,2,1,1
201600000309,B02,7,0,0,8,15
201600000310,A01,7,2,0,3,14
201600000311,A01,7,0,0,9,13
201600000312,A01,7,2,0,1,1
201600000313,A01,7,13,0,2,1
201600000314,A01,1,0,0,3,1
201600000314,B02,7,0,0,2,1
201600000315,A01,7,0,0,0,0
201600000316,A01,7,2,0,8,1
201600000317,A01,21,0,2,3,16
201600000317,B02,7,0,2,3,1
201600000318,A01,31,0,2,1,1
201600000318,B02,10,0,2,5,10
201600000319,A01,7,2,0,8,1
201600000320,A01,7,2,0,1,14
201600000321,A01,7,2,0,1,13
201600000322,A01,7,0,1,2,13
201600000323,A01,7,6,2,8,5
201600000323,B02,10,0,2,1,1
201600000324,A01,36,8,0,1,1
201600000325,A01,7,13,0,3,1
201600000326,A01,7,0,2,2,16
201600000326,B02,7,0,2,1,1
201600000327,A01,7,15,0,1,14
201600000328,A01,7,0,2,2,13
201600000328,B02,7,0,2,1,1
201600000329,A01,7,0,0,8,19
201600000329,B02,7,0,2,1,1
201600000330,A01,7,0,4,3,1
201600000330,B02,39,0,2,1,1
201600000331,A01,2,0,9,3,13
201600000331,B02,1,0,2,1,1
201600000332,A01,30,0,2,1,1
201600000332,B02,7,0,0,3,2
201600000333,A01,7,0,1,0,0
201600000334,A01,7,0,2,6,13
201600000334,B02,33,0,1,2,21
201600000335,A01,7,0,1,1,1
201600000336,A01,7,0,2,3,15
201600000336,B02,10,0,2,1,1
201600000337,A01,33,0,0,8,21
201600000338,A01,10,0,2,3,16
201600000338,B02,30,0,2,1,21
201600000339,A01,7,6,0,3,2
201600000340,A01,7,0,2,2,11
201600000340,B02,7,0,2,3,1
201600000341,A01,7,0,1,3,1
201600000342,A01,33,0,2,1,1
201600000342,B02,7,0,2,7,1
201600000343,A01,7,13,0,1,0
201600000344,A01,33,0,2,3,13
201600000344,B02,7,0,2,3,1
201600000345,A01,7,16,0,1,1
201600000346,A01,7,13,0,2,21
201600000347,A01,7,0,1,1,1
201600000348,B02,1,0,2,4,1
201600000348,A01,7,0,2,2,1
201600000349,B02,15,0,2,8,4
201600000349,A01,7,0,2,1,1
201600000350,B02,7,0,2,3,0
201600000350,A01,10,0,2,3,0
201600000351,B02,15,0,2,3,1
201600000351,A01,7,0,2,3,13
201600000352,A01,7,0,2,1,13
201600000352,B02,7,0,2,1,1
201600000352,C03,7,0,2,3,15
201600000353,A01,7,2,2,5,1
201600000353,B02,7,0,2,2,19
201600000354,A01,7,0,2,7,15
201600000354,B02,30,0,2,1,1
201600000355,A01,33,2,0,9,13
201600000356,A01,7,6,0,9,13
201600000357,A01,30,0,5,1,1
201600000358,A01,7,0,1,2,17
201600000359,B02,7,0,2,2,23
201600000359,A01,7,0,2,3,13
201600000360,A01,30,0,2,3,13
201600000360,B02,7,0,2,3,1
201600000361,B02,10,0,2,4,15
201600000361,A01,1,0,2,1,1
201600000362,B02,2,0,2,1,1
201600000362,A01,10,0,2,3,1
201600000363,A01,7,0,1,3,1
201600000364,A01,7,0,1,3,1
201600000365,B02,7,0,2,3,1
201600000365,A01,7,0,2,1,5
201600000366,A01,7,0,2,3,13
201600000366,B02,7,0,2,3,1
201600000367,B02,7,13,2,1,1
201600000367,A01,7,0,2,7,13
201600000368,B02,10,0,2,1,1
201600000368,A01,7,0,2,1,17
201600000369,B02,10,0,2,1,1
201600000369,A01,7,0,2,1,10
201600000369,C03,10,0,2,7,1
201600000370,B02,30,0,2,1,1
201600000370,A01,7,0,2,3,9
201600000371,B02,7,0,2,1,1
201600000371,A01,7,0,2,1,13
201600000372,A01,2,0,2,1,13
201600000372,B02,2,0,2,1,13
201600000373,A01,7,0,2,1,13
201600000373,B02,7,0,2,1,1
201600000374,A01,33,0,6,2,1
201600000375,A01,33,13,0,1,13
201600000376,A01,7,13,0,1,14
201600000377,B02,7,0,2,3,19
201600000377,A01,30,0,2,1,1
201600000378,B02,7,0,2,1,1
201600000378,A01,7,0,2,1,21
201600000379,A01,7,8,0,1,13
201600000380,A01,7,16,0,9,14
201600000381,A01,7,0,1,2,1
201600000382,A01,7,0,2,1,1
201600000382,B02,7,0,2,8,15
201600000383,B02,39,0,2,3,1
201600000383,A01,7,0,4,3,1
201600000384,B02,10,0,2,2,17
201600000384,A01,7,0,2,6,15
201600000385,A01,33,13,0,1,13
201600000386,A01,7,0,2,2,15
201600000386,B02,2,0,2,1,1
201600000387,A01,7,0,0,0,0
201600000387,B02,10,0,0,0,0
201600000388,A01,7,2,0,7,14
201600000389,A01,30,8,0,1,13
201600000390,A01,7,1,1,3,13
201600000391,A01,7,16,0,9,13
201600000392,A01,7,0,2,1,1
201600000392,B02,3,0,0,4,1
201600000393,B02,7,0,2,1,1
201600000393,A01,7,0,2,2,15
201600000394,A01,7,0,2,2,15
201600000394,B02,7,0,2,6,1
201600000395,A01,7,13,0,1,14
201600000396,A01,7,2,0,1,14
201600000397,A01,7,13,0,1,14
201600000398,A01,7,0,1,3,1
201600000399,B02,7,0,2,1,1
201600000399,A01,7,0,2,2,15
201600000400,A01,33,0,2,1,1
201600000400,B02,10,0,0,5,1
201600000401,A01,7,0,2,1,13
201600000401,B02,15,0,2,1,1
201600000402,B02,17,0,2,6,1
201600000402,A01,7,3,2,3,13
201600000402,C03,15,3,2,3,21
201600000403,A01,7,6,0,1,13
201600000404,A01,7,0,0,1,1
201600000404,B02,7,0,0,4,1
201600000405,B01,13,0,0,7,2
201600000406,B02,7,0,2,5,19
201600000406,A01,33,0,2,1,1
201600000407,A01,7,0,2,9,9
201600000407,B02,7,0,2,6,1
201600000408,B02,7,0,2,1,1
201600000408,A01,10,0,2,3,13
201600000409,B02,7,0,2,1,1
201600000409,A01,7,0,2,1,13
201600000410,A01,7,0,2,2,17
201600000410,B02,2,0,2,4,15
201600000411,A01,7,0,1,1,1
201600000412,B02,2,0,0,1,1
201600000412,A01,7,0,2,3,9
201600000413,A01,7,2,0,1,14
201600000414,A01,10,13,0,3,13
201600000415,B02,1,0,0,8,1
201600000415,A01,10,0,2,2,1
201600000415,C03,1,0,0,8,1
