Num_Acc,category_route,regime_circulation,voie_reserve,profil_route,etat_surface,Infrastructure,situation,nb_voies
202000000417,3,2,0,2,1,0,1,1
202000000418,2,2,3,1,1,0,1,3
202000000419,4,2,0,1,1,0,1,2
202000000420,4,2,0,1,1,6,1,2
202000000421,2,2,0,1,1,5,8,0
202000000422,4,2,0,2,1,0,1,2
202000000423,4,1,0,1,1,9,1,3
202000000424,3,2,0,2,1,0,1,2
202000000425,4,1,0,1,1,0,1,2
202000000426,3,2,0,1,1,8,1,4
202000000427,3,3,0,1,1,0,1,4
202000000428,3,2,2,1,1,0,1,2
202000000429,3,2,0,1,1,0,1,3
202000000430,3,1,0,1,1,0,1,2
202000000431,4,2,1,1,1,0,1,2
202000000432,3,2,0,1,2,0,1,2
202000000433,4,2,0,1,1,0,1,2
202000000434,4,1,0,1,1,0,1,1
202000000435,3,2,0,1,1,0,1,2
202000000436,4,2,0,1,1,0,1,3
202000000437,4,2,0,2,1,0,1,2
202000000438,4,2,0,1,1,0,1,2
202000000439,7,2,0,1,1,0,3,2
202000000440,7,2,0,1,1,0,1,2
202000000441,3,2,0,1,1,5,8,2
202000000442,4,3,0,1,1,6,6,1
202000000443,4,2,1,1,1,0,1,1
202000000444,4,2,0,1,1,0,1,2
202000000445,3,2,1,1,1,0,1,2
202000000446,4,4,0,3,1,9,1,2
202000000447,4,2,0,1,1,0,1,2
202000000448,4,1,0,1,1,6,1,1
202000000449,4,2,0,1,1,5,1,2
202000000450,4,2,0,1,1,0,1,2
202000000451,4,2,0,1,1,0,1,2
202000000452,4,1,0,1,1,0,1,1
202000000453,2,1,2,1,1,0,5,2
202000000454,3,2,0,1,1,0,1,1
202000000455,4,1,0,1,1,0,1,1
202000000456,4,2,1,1,1,0,1,4
202000000457,4,1,0,1,1,5,8,3
202000000458,4,2,0,1,1,9,8,2
202000000459,2,1,0,1,1,0,1,2
202000000460,7,1,0,2,1,3,1,2
202000000461,4,2,0,1,2,0,1,2
202000000462,2,2,0,1,1,0,1,3
202000000463,3,2,0,1,2,0,1,2
202000000464,4,2,0,1,2,0,1,2
202000000465,4,4,0,1,1,2,1,3
202000000466,4,2,0,1,1,0,1,2
202000000467,4,1,0,2,1,0,1,1
202000000468,3,2,0,1,1,0,1,2
202000000469,3,2,1,2,1,5,1,2
202000000470,3,2,0,1,1,0,1,2
202000000471,4,2,0,1,1,0,1,2
202000000472,4,2,0,1,1,0,1,2
202000000473,4,1,0,2,1,0,1,1
202000000474,3,1,0,1,1,0,1,2
202000000475,4,2,0,1,1,0,1,5
202000000476,4,2,0,1,2,5,1,2
202000000477,4,2,0,2,1,0,1,2
202000000478,4,2,0,1,1,2,1,3
202000000479,4,3,0,1,1,0,1,2
202000000480,4,1,0,4,1,0,4,1
202000000481,7,4,0,1,2,0,1,0
202000000482,3,2,0,1,1,0,1,2
202000000483,4,2,0,2,2,5,1,1
202000000484,3,3,0,1,1,0,1,2
202000000485,4,2,0,1,1,0,1,2
202000000486,4,1,0,1,1,0,1,1
202000000487,4,2,0,2,2,0,1,3
202000000488,4,-1,0,1,1,8,1,2
202000000489,4,2,0,1,1,0,1,2
202000000490,4,3,1,1,1,0,1,0
202000000491,4,2,0,1,1,0,1,0
202000000492,4,1,0,2,1,0,1,1
202000000493,3,2,0,1,1,0,1,7
202000000494,3,1,0,1,1,0,1,2
202000000495,3,2,0,1,1,9,1,4
202000000496,4,1,0,1,1,0,1,1
202000000497,4,-1,0,1,1,5,1,1
202000000498,4,2,0,1,1,0,6,2
202000000499,4,2,0,1,1,0,1,2
202000000500,3,1,0,1,8,0,1,1
202000000501,4,1,0,1,1,0,1,1
202000000502,1,3,3,1,1,0,1,3
202000000503,4,1,0,1,1,0,1,0
202000000504,4,2,0,1,1,5,1,2
202000000505,3,1,0,1,1,0,1,1
202000000506,3,2,0,2,1,0,1,2
202000000507,4,2,0,1,1,6,1,2
202000000508,3,1,0,1,1,0,1,1
202000000509,3,2,0,1,1,0,1,2
202000000510,4,2,0,1,1,0,1,2
202000000511,3,2,0,1,1,3,1,2
202000000512,4,1,0,1,1,0,1,2
202000000513,4,2,0,1,1,0,1,2
202000000514,7,2,0,1,1,0,1,1
202000000515,3,2,0,1,1,0,1,2
202000000516,4,1,0,1,1,0,1,4
202000000517,4,2,0,1,1,0,1,3
202000000518,4,2,0,1,1,9,1,2
202000000519,4,2,0,1,1,0,1,2
202000000520,4,4,0,2,1,0,1,5
202000000521,4,1,0,1,1,0,1,2
202000000522,4,1,0,2,1,0,1,2
202000000523,4,1,1,2,1,-1,5,4
202000000524,4,1,0,1,1,0,1,1
202000000525,4,1,0,1,1,0,1,2
202000000526,4,2,1,1,1,-1,5,2
202000000527,4,2,0,1,1,0,1,2
202000000528,4,1,1,1,1,-1,5,1
202000000529,4,1,1,2,1,-1,5,1
202000000530,4,-1,0,1,1,0,4,2
202000000531,3,2,0,1,1,0,1,4
202000000532,3,2,1,1,1,9,5,0
202000000533,4,2,0,1,1,0,1,2
202000000534,3,2,0,1,1,0,1,4
202000000535,3,2,-1,1,1,0,1,2
202000000536,4,1,-1,1,-1,0,1,1
202000000537,3,-1,1,1,1,0,1,2
202000000538,3,2,0,1,1,0,1,2
202000000539,4,2,0,1,1,0,1,2
202000000540,3,2,0,1,1,0,1,4
202000000541,3,2,0,1,1,0,4,2
202000000542,3,3,3,1,1,0,1,4
202000000543,3,1,0,1,1,0,1,3
202000000544,3,1,0,1,1,0,1,2
202000000545,4,2,0,1,1,0,1,3
202000000546,4,-1,0,1,1,0,1,1
202000000547,4,2,0,1,1,0,1,2
202000000548,4,1,1,1,1,0,1,1
202000000549,3,3,0,1,1,0,4,2
202000000550,3,2,0,1,1,0,1,2
202000000551,3,2,0,1,1,0,4,2
202000000552,2,3,0,1,1,0,1,2
202000000553,3,2,2,1,1,5,1,2
202000000554,3,2,0,1,2,0,1,2
202000000555,3,2,0,2,1,0,3,2
202000000556,3,2,0,2,1,0,1,2
202000000557,3,2,0,1,1,0,1,2
202000000558,3,2,0,1,1,0,3,2
202000000559,3,2,0,1,1,0,1,2
202000000560,3,2,0,1,1,0,3,2
202000000561,3,2,0,1,1,0,3,1
202000000562,3,2,0,2,1,0,1,2
202000000563,3,2,0,1,1,0,1,2
202000000564,3,2,0,1,1,0,3,2
202000000565,4,2,0,2,1,0,1,2
202000000566,3,2,0,2,1,0,3,2
202000000567,4,2,0,2,6,0,1,2
202000000568,3,2,0,1,1,0,1,2
202000000569,3,2,0,1,1,0,1,2
202000000570,3,2,0,1,1,0,1,2
202000000571,9,1,0,1,1,0,1,1
202000000572,3,2,0,2,1,0,1,2
202000000573,3,2,0,1,2,0,3,2
202000000574,3,2,0,1,1,9,1,2
202000000575,3,2,0,1,1,0,1,2
202000000576,3,2,0,2,1,0,3,2
202000000577,3,2,0,1,1,0,1,2
202000000578,3,2,0,2,2,0,3,2
202000000579,3,2,0,1,2,0,1,2
202000000580,4,2,0,1,1,0,1,2
202000000581,3,1,0,1,1,0,6,1
202000000582,1,3,0,1,1,0,1,3
202000000583,1,3,0,2,1,2,1,6
202000000584,1,3,0,1,2,0,1,3
202000000585,1,3,0,1,1,0,1,4
202000000586,1,1,0,1,1,0,1,1
202000000587,1,1,0,1,1,0,1,3
202000000588,1,3,0,1,1,0,1,2
202000000589,1,3,0,1,1,0,1,6
202000000590,1,1,0,1,1,0,1,2
202000000591,1,3,0,1,1,1,1,6
202000000592,1,3,0,1,1,0,1,8
202000000593,1,1,0,1,1,0,3,3
202000000594,1,1,0,1,2,0,1,3
202000000595,3,2,0,1,1,0,1,2
202000000596,2,2,3,1,1,0,1,3
202000000597,3,2,0,1,1,0,1,2
202000000598,3,2,0,1,1,0,1,2
202000000599,4,2,0,1,1,0,1,2
202000000600,3,3,0,1,1,0,1,6
202000000601,3,2,0,1,1,0,1,2
202000000602,3,-1,0,1,2,5,1,2
202000000603,4,2,1,2,1,0,1,2
202000000604,4,1,0,1,1,9,1,2
202000000605,4,2,0,1,1,0,1,2
202000000606,4,3,2,2,1,0,1,5
202000000607,3,2,0,1,1,0,1,2
202000000608,3,2,0,1,1,5,1,2
202000000609,3,-1,0,1,1,0,1,2
202000000610,1,3,0,1,1,0,1,4
202000000611,2,2,0,1,1,0,1,2
202000000612,1,3,0,2,1,0,1,4
202000000613,1,1,0,1,1,7,1,5
202000000614,4,2,0,4,1,9,1,2
202000000615,3,2,0,1,1,0,1,2
202000000616,3,2,0,1,1,0,3,2
202000000617,3,2,0,4,1,0,3,2
202000000618,3,2,2,1,1,0,5,2
202000000619,2,2,0,2,1,2,1,2
202000000620,3,2,0,1,1,0,1,2
202000000621,3,2,0,2,1,0,1,2
202000000622,3,1,1,1,1,0,5,1
202000000623,4,2,1,1,2,0,5,2
202000000624,4,2,0,1,1,0,1,2
202000000625,3,2,0,4,1,0,1,2
202000000626,4,2,0,1,1,2,3,2
202000000627,3,2,0,1,1,0,3,2
202000000628,1,1,3,1,1,0,1,0
202000000629,1,3,0,1,1,0,1,8
202000000630,3,1,0,1,1,0,1,3
202000000631,2,3,0,1,1,0,1,3
202000000632,2,1,0,1,1,0,1,3
202000000633,1,3,0,1,1,0,1,8
202000000634,2,3,0,1,2,0,1,2
202000000635,3,3,0,1,2,0,1,4
202000000636,1,3,0,1,1,0,1,7
202000000637,1,3,0,1,1,3,1,9
202000000638,1,3,0,1,1,0,1,6
202000000639,3,2,0,1,1,0,1,2
202000000640,3,2,0,1,1,0,1,2
202000000641,4,2,3,1,1,0,1,3
202000000642,4,2,1,1,1,0,1,2
202000000643,4,1,1,1,1,0,1,1
202000000644,4,-1,0,1,1,0,1,4
202000000645,4,1,0,4,1,0,1,1
202000000646,4,2,0,1,1,0,1,2
202000000647,4,2,0,1,1,0,1,3
202000000648,4,3,0,1,1,0,1,2
202000000649,4,2,0,1,1,0,1,2
202000000650,2,1,0,1,1,0,1,2
202000000651,4,4,3,1,1,5,1,2
